Model,MDO3054
Firmware Version,1.30

Waveform Type,ANALOG,,,,,Waveform Type,ANALOG
Point Format,Y,,,,,Point Format,Y
Horizontal Units,s,,,,,Horizontal Units,s
Horizontal Scale,8e-07,,,,,Horizontal Scale,8e-07
Horizontal Delay,2.912e-06,,,,,Horizontal Delay,2.912e-06
Sample Interval,8e-10,,,,,Sample Interval,8e-10
Record Length,10000,,,,,Record Length,10000
Gating,0.0% to 100.0%,,,,,Gating,0.0% to 100.0%
Probe Attenuation,500,50,10,100,,Probe Attenuation,1
Vertical Units,V,V,A,A,,Vertical Units,Ws
Vertical Offset,0,0,0,0,,Vertical Offset,0
Vertical Scale,250,25,20,20,,Vertical Scale,0.0005
Vertical Position,1.98,1,-2,-3.92,,Vertical Position,-2.01364
,,,,,,,
,,,,,,,
,,,,,,,
Label,Vds,Vge,Isw,Il,,Label,Esw
TIME,CH1,CH2,CH3,CH4,,TIME,"MATH<INTG(CH1*CH3)>"
-9.6480e-07,255,-9,-0.8,-0.8,,-9.6480e-07,4.47545e-06
-9.6400e-07,255,-8,0,0,,-9.6400e-07,4.47545e-06
-9.6320e-07,245,-10,0,0.8,,-9.6320e-07,4.47545e-06
-9.6240e-07,255,-9,0,0,,-9.6240e-07,4.47545e-06
-9.6160e-07,255,-11,-0.8,-0.8,,-9.6160e-07,4.3192e-06
-9.6080e-07,265,-9,0,0,,-9.6080e-07,4.3192e-06
-9.6000e-07,265,-9,0,0,,-9.6000e-07,4.3192e-06
-9.5920e-07,255,-9,-0.8,-0.8,,-9.5920e-07,4.16295e-06
-9.5840e-07,245,-10,0.8,-0.8,,-9.5840e-07,4.3192e-06
-9.5760e-07,255,-10,0,0,,-9.5760e-07,4.3192e-06
-9.5680e-07,255,-9,0,0,,-9.5680e-07,4.3192e-06
-9.5600e-07,255,-10,-0.8,0.8,,-9.5600e-07,4.16295e-06
-9.5520e-07,245,-9,0,0,,-9.5520e-07,4.16295e-06
-9.5440e-07,255,-9,0.8,0,,-9.5440e-07,4.3192e-06
-9.5360e-07,255,-10,0,-0.8,,-9.5360e-07,4.3192e-06
-9.5280e-07,255,-9,0,-0.8,,-9.5280e-07,4.3192e-06
-9.5200e-07,255,-8,-0.8,0.8,,-9.5200e-07,4.16295e-06
-9.5120e-07,255,-10,-0.8,0,,-9.5120e-07,3.92858e-06
-9.5040e-07,255,-10,0,0,,-9.5040e-07,3.92858e-06
-9.4960e-07,245,-9,0,-0.8,,-9.4960e-07,3.92858e-06
-9.4880e-07,255,-9,0,0.8,,-9.4880e-07,3.92858e-06
-9.4800e-07,245,-8,0,-0.8,,-9.4800e-07,3.92858e-06
-9.4720e-07,245,-10,0,0,,-9.4720e-07,3.92858e-06
-9.4640e-07,255,-10,0,0.8,,-9.4640e-07,3.92858e-06
-9.4560e-07,255,-9,0,0.8,,-9.4560e-07,3.92858e-06
-9.4480e-07,255,-9,0,0,,-9.4480e-07,3.92858e-06
-9.4400e-07,265,-10,-0.8,0,,-9.4400e-07,3.77233e-06
-9.4320e-07,255,-9,0,-0.8,,-9.4320e-07,3.77233e-06
-9.4240e-07,255,-10,0.8,0.8,,-9.4240e-07,3.92858e-06
-9.4160e-07,255,-9,0,0,,-9.4160e-07,3.92858e-06
-9.4080e-07,255,-9,0,0,,-9.4080e-07,3.92858e-06
-9.4000e-07,265,-9,0.8,-0.8,,-9.4000e-07,4.16295e-06
-9.3920e-07,255,-9,0,0,,-9.3920e-07,4.16295e-06
-9.3840e-07,245,-9,0,0,,-9.3840e-07,4.16295e-06
-9.3760e-07,255,-9,0,0,,-9.3760e-07,4.16295e-06
-9.3680e-07,255,-10,0,0,,-9.3680e-07,4.16295e-06
-9.3600e-07,245,-9,0.8,-0.8,,-9.3600e-07,4.3192e-06
-9.3520e-07,255,-9,0.8,0,,-9.3520e-07,4.47545e-06
-9.3440e-07,255,-8,-0.8,0,,-9.3440e-07,4.3192e-06
-9.3360e-07,255,-9,0,0,,-9.3360e-07,4.3192e-06
-9.3280e-07,245,-9,0,0,,-9.3280e-07,4.3192e-06
-9.3200e-07,245,-9,0.8,-0.8,,-9.3200e-07,4.47545e-06
-9.3120e-07,255,-9,0,0,,-9.3120e-07,4.47545e-06
-9.3040e-07,255,-9,0,0,,-9.3040e-07,4.47545e-06
-9.2960e-07,245,-9,0,0,,-9.2960e-07,4.47545e-06
-9.2880e-07,255,-9,0,0,,-9.2880e-07,4.47545e-06
-9.2800e-07,255,-9,0.8,-0.8,,-9.2800e-07,4.6317e-06
-9.2720e-07,255,-9,0.8,-0.8,,-9.2720e-07,4.78795e-06
-9.2640e-07,255,-9,0,0,,-9.2640e-07,4.78795e-06
-9.2560e-07,255,-8,0,0,,-9.2560e-07,4.78795e-06
-9.2480e-07,265,-10,0,0,,-9.2480e-07,4.78795e-06
-9.2400e-07,255,-10,0,0,,-9.2400e-07,4.78795e-06
-9.2320e-07,255,-9,0,-0.8,,-9.2320e-07,4.78795e-06
-9.2240e-07,245,-9,0,0,,-9.2240e-07,4.78795e-06
-9.2160e-07,245,-9,0.8,0,,-9.2160e-07,4.9442e-06
-9.2080e-07,245,-9,0,-0.8,,-9.2080e-07,4.9442e-06
-9.2000e-07,255,-9,0,0,,-9.2000e-07,4.9442e-06
-9.1920e-07,255,-9,0,0,,-9.1920e-07,4.9442e-06
-9.1840e-07,245,-9,0,-0.8,,-9.1840e-07,4.9442e-06
-9.1760e-07,245,-8,-0.8,0,,-9.1760e-07,4.78795e-06
-9.1680e-07,255,-9,0.8,0,,-9.1680e-07,4.9442e-06
-9.1600e-07,255,-9,0,-0.8,,-9.1600e-07,4.9442e-06
-9.1520e-07,255,-9,0.8,0,,-9.1520e-07,5.10045e-06
-9.1440e-07,255,-9,-0.8,0,,-9.1440e-07,4.9442e-06
-9.1360e-07,265,-9,0,0,,-9.1360e-07,4.9442e-06
-9.1280e-07,255,-10,0,-0.8,,-9.1280e-07,4.9442e-06
-9.1200e-07,255,-9,-0.8,0,,-9.1200e-07,4.78795e-06
-9.1120e-07,255,-8,-0.8,0,,-9.1120e-07,4.6317e-06
-9.1040e-07,255,-9,0.8,-1.6,,-9.1040e-07,4.78795e-06
-9.0960e-07,265,-9,0.8,0,,-9.0960e-07,4.9442e-06
-9.0880e-07,265,-9,0.8,0,,-9.0880e-07,5.10045e-06
-9.0800e-07,255,-9,0.8,0,,-9.0800e-07,5.2567e-06
-9.0720e-07,255,-9,0,0,,-9.0720e-07,5.2567e-06
-9.0640e-07,255,-9,0.8,0.8,,-9.0640e-07,5.41295e-06
-9.0560e-07,255,-9,0,0,,-9.0560e-07,5.41295e-06
-9.0480e-07,245,-9,0,-0.8,,-9.0480e-07,5.41295e-06
-9.0400e-07,255,-9,0.8,-0.8,,-9.0400e-07,5.5692e-06
-9.0320e-07,245,-8,0,0,,-9.0320e-07,5.5692e-06
-9.0240e-07,235,-9,0,-0.8,,-9.0240e-07,5.5692e-06
-9.0160e-07,235,-8,-0.8,0,,-9.0160e-07,5.41295e-06
-9.0080e-07,255,-9,-0.8,0,,-9.0080e-07,5.2567e-06
-9.0000e-07,255,-9,0,0,,-9.0000e-07,5.2567e-06
-8.9920e-07,245,-9,0,-0.8,,-8.9920e-07,5.2567e-06
-8.9840e-07,255,-9,0,0,,-8.9840e-07,5.2567e-06
-8.9760e-07,255,-10,0,-0.8,,-8.9760e-07,5.2567e-06
-8.9680e-07,255,-10,0,-0.8,,-8.9680e-07,5.2567e-06
-8.9600e-07,245,-9,0,0,,-8.9600e-07,5.2567e-06
-8.9520e-07,255,-10,0.8,0,,-8.9520e-07,5.41295e-06
-8.9440e-07,245,-9,0.8,-0.8,,-8.9440e-07,5.5692e-06
-8.9360e-07,255,-9,0.8,-0.8,,-8.9360e-07,5.72545e-06
-8.9280e-07,255,-9,0,-0.8,,-8.9280e-07,5.72545e-06
-8.9200e-07,245,-10,0.8,0,,-8.9200e-07,5.8817e-06
-8.9120e-07,255,-10,0.8,0,,-8.9120e-07,6.11608e-06
-8.9040e-07,255,-10,0.8,0,,-8.9040e-07,6.27233e-06
-8.8960e-07,255,-9,0,0.8,,-8.8960e-07,6.27233e-06
-8.8880e-07,255,-8,-0.8,-0.8,,-8.8880e-07,6.11608e-06
-8.8800e-07,255,-9,0,-0.8,,-8.8800e-07,6.11608e-06
-8.8720e-07,245,-9,0.8,0,,-8.8720e-07,6.27233e-06
-8.8640e-07,265,-9,-0.8,0,,-8.8640e-07,6.03795e-06
-8.8560e-07,255,-9,0.8,0,,-8.8560e-07,6.27233e-06
-8.8480e-07,245,-9,0,-0.8,,-8.8480e-07,6.27233e-06
-8.8400e-07,265,-9,0,0,,-8.8400e-07,6.27233e-06
-8.8320e-07,255,-9,0,0,,-8.8320e-07,6.27233e-06
-8.8240e-07,245,-9,0.8,0,,-8.8240e-07,6.42858e-06
-8.8160e-07,255,-9,0,0,,-8.8160e-07,6.42858e-06
-8.8080e-07,255,-9,-0.8,-0.8,,-8.8080e-07,6.1942e-06
-8.8000e-07,255,-8,0.8,0,,-8.8000e-07,6.42858e-06
-8.7920e-07,255,-10,0,0.8,,-8.7920e-07,6.42858e-06
-8.7840e-07,255,-9,0,-0.8,,-8.7840e-07,6.42858e-06
-8.7760e-07,255,-9,0.8,0,,-8.7760e-07,6.58483e-06
-8.7680e-07,255,-9,0,0,,-8.7680e-07,6.58483e-06
-8.7600e-07,245,-9,0,0.8,,-8.7600e-07,6.58483e-06
-8.7520e-07,255,-9,0.8,0,,-8.7520e-07,6.74108e-06
-8.7440e-07,265,-9,-0.8,0,,-8.7440e-07,6.58483e-06
-8.7360e-07,255,-9,0,0,,-8.7360e-07,6.58483e-06
-8.7280e-07,265,-10,-0.8,-0.8,,-8.7280e-07,6.35045e-06
-8.7200e-07,255,-9,0,0.8,,-8.7200e-07,6.35045e-06
-8.7120e-07,255,-9,0.8,0.8,,-8.7120e-07,6.5067e-06
-8.7040e-07,255,-9,0,-0.8,,-8.7040e-07,6.5067e-06
-8.6960e-07,255,-9,0,0,,-8.6960e-07,6.5067e-06
-8.6880e-07,245,-9,0.8,0,,-8.6880e-07,6.66295e-06
-8.6800e-07,245,-8,-0.8,0,,-8.6800e-07,6.5067e-06
-8.6720e-07,245,-10,0.8,0,,-8.6720e-07,6.66295e-06
-8.6640e-07,245,-9,0,0,,-8.6640e-07,6.66295e-06
-8.6560e-07,265,-9,-0.8,0,,-8.6560e-07,6.5067e-06
-8.6480e-07,255,-9,0,0,,-8.6480e-07,6.5067e-06
-8.6400e-07,255,-9,0.8,0,,-8.6400e-07,6.66295e-06
-8.6320e-07,255,-9,0.8,0.8,,-8.6320e-07,6.8192e-06
-8.6240e-07,255,-10,0.8,0,,-8.6240e-07,7.05358e-06
